คะแนนคณิตศาสตร์,คะแนนคอมพิวเตอร์,คะแนนภาษาไทย,คะแนนวิทยาศาสตร์,คะแนนศิลปะ,ทักษะการคิดเชิงตรรกะ,ทักษะความคิดสร้างสรรค์,ทักษะการแก้ปัญหา,ความสนใจด้านตัวเลข,ความสนใจด้านเทคโนโลยี,ความสนใจด้านการทำอาหาร,อายุ,เพศ,รายได้ครอบครัว,การศึกษาของผู้ปกครอง,จำนวนพี่น้อง,ชั่วโมงการนอน,ความถี่การออกกำลังกาย,ชั่วโมงใช้โซเชียลมีเดีย,ชอบอ่านหนังสือ,ประเภทเพลงที่ชอบ,แผนก,ชั้นปี,GPA,ความพึงพอใจในแผนก,หากเลือกใหม่จะเลือกแผนกเดิมไหม
37.8,70.6,90.6,93.5,96.1,8.7,5.1,5.6,1.7,8.8,6.6,17,0,5,4,3,9.8,6,7.5,0,4,อาหาร,1,3.43,4,3
64.5,39.7,34.2,43.4,39.9,6.2,4.0,5.6,9.9,2.7,6.6,19,1,1,2,0,7.5,3,3.4,0,3,บัญชี,1,2.93,4,2
30.8,61.1,78.4,73.1,75.0,4.8,4.6,4.4,7.1,3.0,2.3,16,1,3,2,0,8.8,6,5.5,0,4,อาหาร,1,2.96,4,1
62.8,73.8,39.8,58.4,56.7,5.6,6.3,3.8,7.8,7.0,5.9,17,0,2,4,3,7.6,5,4.8,1,3,สารสนเทศ,2,3.61,4,4
33.9,64.2,59.1,32.9,97.0,3.1,6.0,8.2,3.2,5.2,4.5,19,1,2,1,2,5.3,0,1.1,0,1,อาหาร,3,3.34,4,1
38.3,58.1,68.4,54.3,53.1,6.7,5.0,8.4,7.1,5.5,5.0,18,0,5,1,3,6.6,0,7.5,1,3,อาหาร,1,2.68,3,4
38.2,99.6,58.2,48.6,97.4,6.5,4.2,9.8,1.4,2.2,5.7,18,1,5,1,2,5.4,1,2.8,0,4,สารสนเทศ,2,2.82,4,2
75.4,91.6,66.4,78.0,93.1,6.7,8.3,8.4,8.5,8.3,2.2,19,1,4,1,2,9.9,4,0.4,0,2,สารสนเทศ,1,2.31,3,3
82.2,73.6,99.8,96.4,48.9,9.8,9.9,4.7,2.5,6.6,4.2,18,1,3,4,0,6.1,6,2.4,0,4,อาหาร,1,3.21,4,4
70.8,69.9,39.5,48.8,86.2,9.4,8.4,3.3,7.3,2.2,1.6,18,1,2,3,3,8.2,2,2.7,0,2,อาหาร,1,2.47,3,1
97.4,73.4,77.3,86.8,99.7,4.1,5.1,9.9,3.0,4.4,9.8,17,0,1,1,0,6.4,5,0.7,0,2,อาหาร,2,3.29,5,2
56.2,44.1,57.7,33.9,47.7,5.6,4.7,5.4,1.6,8.3,2.1,18,0,4,4,1,8.3,1,5.0,0,2,บัญชี,1,2.46,3,3
50.0,57.7,39.3,67.7,60.6,6.0,4.5,5.2,5.3,6.1,3.3,17,0,3,1,0,6.1,5,2.8,1,3,สารสนเทศ,2,2.6,4,1
90.8,32.8,41.1,34.9,66.4,5.5,4.0,9.3,2.5,2.0,9.0,16,1,5,2,2,8.9,1,5.0,0,1,บัญชี,2,3.7,4,1
45.7,63.3,96.4,95.4,50.6,8.6,6.9,7.1,7.6,4.4,5.3,18,0,3,1,3,5.6,0,0.1,0,1,อาหาร,3,2.38,3,3
97.4,68.0,91.6,83.6,31.1,6.7,7.2,4.5,3.1,3.2,2.2,16,1,5,4,1,9.5,0,7.9,0,1,บัญชี,1,3.51,4,1
30.9,45.9,93.5,76.1,45.4,7.0,7.9,9.2,4.1,5.7,4.5,18,0,3,2,1,9.2,4,1.4,0,2,อาหาร,1,3.56,4,2
97.9,97.5,99.4,87.7,49.7,9.0,7.8,10.0,6.1,8.6,2.0,19,1,1,2,1,8.4,6,5.3,0,3,สารสนเทศ,1,2.97,3,1
33.0,93.7,44.6,75.3,61.1,8.6,5.0,3.6,3.6,4.9,2.8,19,1,4,1,1,5.3,6,5.7,1,3,สารสนเทศ,3,3.43,4,2
92.4,80.6,54.9,97.8,42.0,3.9,5.3,9.0,4.4,4.9,1.5,16,1,5,1,3,6.0,5,1.4,1,3,สารสนเทศ,3,2.99,4,1
66.9,67.3,76.8,80.0,91.1,8.0,7.8,5.7,8.3,9.1,4.9,16,0,1,2,2,9.3,5,0.9,1,4,อาหาร,3,2.99,5,1
99.5,90.9,63.9,94.7,79.3,6.0,5.4,6.7,2.6,6.2,8.3,16,0,2,3,1,5.6,4,1.2,0,3,สารสนเทศ,2,3.34,3,4
35.2,39.1,59.3,66.2,36.0,5.1,4.5,9.4,1.7,6.1,6.3,19,0,1,4,2,5.8,0,2.0,0,3,อาหาร,2,2.34,3,4
68.8,85.3,55.0,38.2,75.5,3.4,5.6,9.8,4.0,3.4,6.5,16,0,1,4,0,7.7,3,1.3,0,3,สารสนเทศ,1,3.46,4,2
97.9,38.7,71.6,67.0,75.8,6.4,4.9,4.8,4.8,6.5,2.8,19,1,1,4,2,6.4,4,5.4,0,1,บัญชี,3,2.92,4,5
66.6,85.6,70.3,38.9,96.9,5.5,3.6,4.5,5.9,6.2,4.1,16,1,5,4,1,6.1,1,3.4,0,2,อาหาร,3,3.08,4,4
74.1,49.3,41.3,71.5,30.2,4.8,8.8,3.6,4.4,4.6,8.6,17,1,2,4,0,7.9,0,4.3,0,4,บัญชี,1,3.47,4,3
78.7,91.4,63.0,63.8,47.4,7.9,9.0,6.9,8.1,9.9,1.8,17,1,4,2,0,6.9,5,0.4,1,1,สารสนเทศ,1,3.33,4,2
61.8,96.1,68.7,73.6,94.9,8.4,4.5,3.1,1.4,8.9,8.7,18,0,1,4,0,5.7,5,6.9,1,3,สารสนเทศ,2,2.46,3,5
73.9,40.4,69.9,30.7,95.2,4.7,3.5,5.9,4.9,7.7,5.4,17,0,5,3,1,7.7,2,1.4,0,2,อาหาร,1,2.83,3,3
70.9,62.4,44.7,43.6,80.4,3.3,8.2,3.5,4.4,5.8,8.5,16,1,5,3,2,6.9,2,2.9,1,2,อาหาร,3,2.48,3,1
93.1,98.7,82.0,64.4,83.6,8.9,4.5,5.8,6.8,5.2,3.9,17,0,4,1,3,8.7,3,0.6,1,2,สารสนเทศ,2,2.71,3,5
33.2,63.8,31.8,96.5,36.4,3.1,5.8,3.3,9.7,2.7,4.0,17,1,3,1,2,5.5,5,1.1,0,2,สารสนเทศ,2,2.99,4,1
49.7,90.4,54.8,56.9,66.0,9.6,3.4,8.8,5.6,3.8,7.8,16,1,2,1,1,8.1,0,5.3,1,3,สารสนเทศ,2,3.36,4,1
96.5,71.2,84.6,59.7,46.2,7.4,4.6,4.5,9.9,8.0,8.1,17,1,2,1,1,7.2,5,5.5,0,4,บัญชี,2,3.55,5,1
92.3,56.3,69.5,80.0,42.7,5.3,8.6,5.3,3.7,5.1,3.1,16,0,1,2,0,7.0,5,5.4,1,3,บัญชี,1,2.77,3,4
61.9,50.0,48.3,72.3,86.7,4.7,8.6,9.1,1.3,8.9,9.8,17,1,3,3,2,6.2,1,4.4,0,2,อาหาร,3,3.25,4,1
73.4,44.2,78.6,50.9,39.5,3.1,4.4,8.2,2.5,2.3,1.8,16,0,2,2,1,5.2,3,7.6,0,3,บัญชี,3,2.84,4,1
49.4,83.3,69.7,58.8,62.8,4.6,5.4,4.5,4.6,5.6,1.6,19,1,1,3,1,9.2,1,4.1,0,2,สารสนเทศ,2,2.73,3,4
43.2,57.1,85.7,45.2,95.7,4.0,3.9,3.5,3.8,6.8,6.4,19,0,3,2,3,6.6,6,3.6,1,3,อาหาร,2,3.46,5,1
62.5,65.8,81.5,97.6,43.0,7.3,3.5,8.0,1.9,5.7,7.5,18,0,5,3,2,8.4,2,2.0,0,4,อาหาร,2,2.77,3,4
54.7,64.5,72.7,39.1,98.5,4.2,9.9,5.7,4.9,9.0,9.6,17,1,1,1,0,9.7,1,0.8,0,2,อาหาร,2,4.0,5,1
70.9,70.4,64.2,56.0,99.6,6.7,7.6,8.4,4.0,9.9,4.6,18,1,3,3,0,7.8,2,4.4,0,3,อาหาร,3,2.74,4,5
35.4,90.6,39.3,31.8,68.9,7.1,6.8,6.1,2.1,2.0,1.2,16,0,4,1,0,7.0,6,2.5,0,1,สารสนเทศ,1,3.2,4,2
98.2,98.7,48.3,45.5,41.9,5.1,8.4,5.4,3.7,2.2,6.4,19,0,2,3,2,6.3,4,4.2,1,4,สารสนเทศ,1,2.65,3,4
99.0,58.5,59.3,84.6,52.1,3.2,8.9,6.2,9.0,2.2,3.6,16,0,1,2,1,9.7,6,1.6,1,1,บัญชี,3,3.23,4,4
78.9,87.9,72.0,44.1,59.7,3.3,8.6,8.2,3.7,7.1,4.9,18,1,5,4,1,8.4,2,6.7,1,3,สารสนเทศ,1,3.3,4,3
67.5,83.5,66.0,35.6,51.7,3.2,3.1,9.3,7.4,4.4,5.4,16,1,1,3,3,8.3,5,8.0,1,4,สารสนเทศ,2,3.0,4,1
51.7,70.1,50.2,63.2,49.6,8.2,4.3,3.3,6.5,7.6,1.6,16,0,2,2,3,7.1,6,2.6,1,4,สารสนเทศ,1,2.81,4,1
87.0,96.9,30.5,30.7,98.1,5.2,7.6,6.7,4.8,4.6,5.4,16,0,2,4,1,9.2,2,6.7,1,4,สารสนเทศ,3,2.55,3,4
77.9,44.0,64.7,35.9,40.7,8.6,5.6,3.2,3.2,6.6,4.8,16,0,3,2,1,8.6,6,7.0,1,3,บัญชี,3,3.51,5,4
41.4,37.6,50.0,86.5,81.3,6.0,9.9,6.3,4.3,7.9,7.4,19,1,5,4,2,6.4,5,8.0,0,4,อาหาร,3,4.0,5,2
93.8,89.8,81.4,84.0,30.0,6.2,7.7,9.2,6.3,5.9,6.8,16,1,3,1,3,8.0,3,2.7,0,4,สารสนเทศ,3,3.26,4,2
87.6,60.7,31.7,94.1,71.7,6.6,9.7,5.5,4.2,5.9,2.7,16,0,5,3,0,7.2,5,6.0,1,1,อาหาร,1,2.57,3,4
96.5,89.3,70.9,89.8,94.1,8.0,4.4,9.5,2.9,1.8,2.9,19,0,1,2,0,5.0,6,1.8,1,3,สารสนเทศ,2,2.77,3,2
80.8,92.5,95.9,77.8,50.2,4.9,9.0,7.4,2.0,4.7,3.3,16,1,1,3,0,9.0,5,5.0,1,2,สารสนเทศ,2,2.53,3,1
72.9,34.4,42.2,33.7,43.0,3.9,5.2,9.5,8.9,5.9,2.6,16,1,3,1,0,5.6,5,5.6,0,3,บัญชี,3,3.07,4,2
59.3,91.8,63.0,84.8,75.6,6.9,9.9,8.3,5.0,5.2,6.9,18,0,4,1,1,7.5,3,5.9,1,3,สารสนเทศ,1,2.67,4,5
95.3,61.4,36.4,89.2,79.9,5.3,4.1,3.7,6.6,9.1,9.9,19,0,2,3,1,6.7,0,1.7,1,4,บัญชี,3,2.5,3,2
90.6,65.7,73.8,85.9,78.2,6.1,6.6,4.6,5.4,9.2,6.9,17,0,3,2,2,6.7,6,6.8,0,1,อาหาร,1,2.76,4,5
33.2,73.9,68.5,65.6,52.4,7.5,8.5,5.8,8.9,8.4,6.5,16,1,3,2,0,7.4,0,3.4,0,1,สารสนเทศ,3,3.57,4,5
31.8,94.8,58.5,46.3,47.7,6.5,6.0,4.2,5.9,4.4,4.7,18,0,1,2,1,10.0,6,1.7,0,3,สารสนเทศ,2,3.35,5,1
56.4,31.3,66.5,89.2,96.9,7.3,6.3,6.5,5.3,7.5,3.8,19,0,2,3,1,7.0,2,4.3,1,2,อาหาร,2,4.0,5,2
86.7,63.4,92.8,80.9,94.6,6.8,9.9,6.3,9.3,4.6,9.2,16,0,3,2,1,5.9,4,6.9,1,3,อาหาร,1,3.08,4,1
99.1,78.1,43.7,98.7,62.0,8.2,6.0,9.7,7.5,3.1,9.7,17,1,1,2,0,8.1,0,7.7,1,2,บัญชี,1,3.47,3,1
40.5,80.6,31.6,40.9,89.2,7.9,7.2,6.0,2.0,4.1,5.5,16,1,1,4,1,6.2,2,6.0,0,2,สารสนเทศ,1,3.01,3,3
71.6,78.5,90.3,45.8,61.7,6.7,3.4,8.5,2.6,1.6,3.6,18,1,3,2,3,5.5,3,0.0,1,3,บัญชี,2,3.06,4,2
56.7,39.4,70.4,44.8,59.7,7.8,8.9,9.6,8.1,4.0,7.9,19,0,3,1,0,5.3,0,1.1,0,4,อาหาร,2,2.76,3,1
97.9,51.0,92.3,85.5,41.0,9.1,7.5,9.1,8.5,5.1,2.2,18,1,1,2,0,5.1,0,0.6,0,4,บัญชี,2,3.65,4,2
88.9,55.1,71.8,43.1,59.8,6.0,5.8,4.5,5.9,9.6,7.9,19,1,3,3,3,7.2,5,0.8,0,2,บัญชี,1,3.41,5,2
88.7,86.3,86.7,34.7,67.6,5.9,3.1,6.5,6.0,3.8,8.4,17,1,2,3,2,7.1,6,3.1,1,1,บัญชี,2,2.96,4,4
62.8,49.5,60.1,99.9,31.6,8.3,7.1,5.4,6.7,9.1,2.1,16,1,1,2,2,5.9,5,2.7,0,4,สารสนเทศ,3,2.32,3,4
59.0,44.7,82.5,31.7,61.1,7.1,3.1,5.8,5.0,3.1,9.8,18,1,1,3,0,8.9,2,0.9,0,4,อาหาร,3,2.61,4,4
49.1,97.0,93.9,88.5,84.7,3.5,3.0,5.5,7.1,2.7,9.9,17,0,3,3,0,5.6,5,7.1,0,2,อาหาร,1,2.9,4,2
33.9,30.6,70.0,55.6,77.6,9.2,7.3,8.8,2.0,5.7,9.4,17,0,3,2,0,9.6,2,4.9,0,2,อาหาร,3,4.0,5,2
90.5,99.8,42.7,88.9,74.5,3.2,4.3,6.2,9.7,7.1,5.5,16,0,3,4,3,7.9,1,6.4,1,2,สารสนเทศ,3,3.08,3,2
86.9,77.4,48.8,68.8,93.7,8.2,4.3,6.7,7.8,1.4,3.2,18,0,2,4,1,5.1,6,3.0,0,4,บัญชี,3,2.04,3,3
100.0,88.0,43.9,93.1,31.3,8.3,7.6,9.9,6.7,3.0,6.2,16,0,1,4,3,9.8,1,3.3,1,4,สารสนเทศ,3,2.94,3,1
99.8,50.6,47.3,94.8,69.0,9.7,3.4,3.4,3.8,5.1,4.8,16,1,4,4,1,6.5,4,2.5,1,1,บัญชี,2,3.23,4,1
68.9,31.0,51.4,30.6,85.1,3.4,5.2,6.4,2.4,4.0,2.9,19,1,2,1,1,7.2,6,3.5,0,1,อาหาร,1,2.46,3,2
83.8,81.7,68.9,35.3,67.9,7.2,4.0,8.4,4.7,7.4,4.8,19,0,2,2,2,6.4,0,4.9,1,3,บัญชี,2,3.38,4,1
96.1,88.4,71.2,47.5,52.7,6.0,7.1,4.1,7.0,5.6,7.0,16,1,1,3,3,8.6,1,3.9,0,2,บัญชี,2,3.51,4,1
89.5,81.8,59.9,76.9,39.5,5.3,7.6,7.3,6.7,2.4,1.6,19,0,4,3,3,7.4,2,6.7,1,4,สารสนเทศ,1,2.62,3,2
47.3,40.0,73.1,92.2,92.1,3.6,8.0,4.7,4.4,9.1,4.0,18,0,1,2,0,5.7,5,7.2,0,1,อาหาร,1,3.85,5,2
61.5,82.7,35.7,62.2,63.0,6.9,4.8,9.1,6.5,3.6,1.2,19,1,2,3,3,5.5,5,3.8,1,2,สารสนเทศ,1,3.77,5,1
39.0,83.8,36.1,72.5,91.5,6.4,3.6,5.3,8.3,7.6,7.7,17,0,3,1,1,8.6,0,1.9,1,2,สารสนเทศ,2,2.38,3,2
96.8,76.1,42.0,43.2,71.0,3.7,3.6,5.3,1.2,8.0,6.8,16,1,1,4,1,6.2,6,7.6,0,3,บัญชี,1,2.88,4,1
72.4,83.6,66.3,86.3,77.2,7.3,6.0,7.2,5.1,9.7,1.6,16,0,1,2,3,5.7,1,5.9,0,2,สารสนเทศ,2,2.54,4,1
46.0,89.2,45.0,97.7,86.3,8.2,9.6,4.3,7.8,5.5,9.7,18,1,3,3,2,7.5,4,5.1,0,1,อาหาร,3,2.79,3,5
77.0,73.0,49.8,48.8,76.1,8.4,4.5,5.0,5.9,6.5,1.2,16,1,4,1,2,9.0,4,6.0,0,3,บัญชี,1,3.39,3,2
73.3,36.2,58.0,64.6,57.9,9.3,4.8,5.9,6.9,4.0,6.3,19,1,4,3,0,6.4,4,0.6,0,4,บัญชี,3,2.98,4,2
55.1,64.1,86.8,36.0,66.0,5.9,3.7,5.5,5.7,7.1,8.0,17,1,1,1,0,6.4,4,0.5,1,3,อาหาร,2,3.24,5,1
37.9,35.4,31.0,69.1,86.2,9.7,7.2,6.7,9.9,5.2,8.1,16,1,3,3,1,9.2,5,1.2,0,2,อาหาร,1,3.74,5,1
77.0,58.5,75.5,65.2,56.2,9.1,7.8,7.2,1.5,4.9,1.3,19,1,1,4,3,5.7,5,1.2,0,2,บัญชี,1,3.11,3,3
66.4,58.5,76.8,40.1,57.2,5.1,7.5,7.0,5.4,8.7,9.2,17,0,3,2,1,8.1,5,3.4,0,1,บัญชี,1,2.5,3,1
84.1,34.6,85.9,60.9,36.7,4.1,9.0,7.6,1.8,1.5,9.3,16,0,2,4,1,9.8,6,1.3,0,2,บัญชี,1,3.17,3,4
66.4,54.4,95.3,53.4,94.0,6.0,6.4,5.2,2.4,8.9,6.1,16,1,3,4,3,9.2,2,6.8,0,4,อาหาร,3,3.07,4,4
89.7,37.8,31.4,66.5,36.4,5.8,3.9,3.9,4.4,8.7,5.3,16,1,1,3,1,5.3,4,4.6,1,1,บัญชี,2,3.55,5,1
68.6,86.6,40.8,71.0,75.4,7.0,5.0,8.3,2.4,5.6,1.4,17,0,5,4,1,6.6,3,2.9,1,2,สารสนเทศ,3,2.88,3,2
69.3,96.3,92.0,30.6,58.9,7.1,7.6,9.0,9.7,5.4,6.1,16,0,4,2,2,5.7,5,0.6,0,4,สารสนเทศ,2,2.76,3,4
91.4,35.1,62.1,83.3,58.4,8.2,7.3,4.8,9.5,4.3,4.7,16,0,1,1,0,9.7,4,4.7,0,1,บัญชี,2,3.58,4,2
58.2,96.9,69.5,79.9,77.6,6.6,6.7,5.8,4.0,9.9,8.0,19,0,3,1,2,9.9,1,0.9,0,2,สารสนเทศ,1,3.56,4,1
39.4,66.6,76.4,55.6,34.7,3.7,7.8,6.5,6.8,2.0,4.6,19,0,3,3,0,6.2,6,5.9,1,4,สารสนเทศ,2,3.27,3,1
32.0,51.0,77.5,33.7,71.6,9.0,7.5,6.7,5.8,6.3,7.2,19,1,4,2,0,8.3,0,6.4,1,4,อาหาร,2,3.85,5,1
82.9,35.4,95.2,82.8,84.0,5.2,9.2,7.6,8.3,7.1,1.9,19,0,1,2,0,9.2,5,4.4,1,3,อาหาร,1,3.52,4,1
73.4,65.0,99.8,96.9,88.0,9.8,7.1,3.3,6.6,9.4,2.2,16,0,5,1,2,6.2,5,1.2,0,1,อาหาร,3,3.17,5,1
79.3,85.6,80.4,46.8,41.9,3.8,8.5,8.1,1.0,8.0,2.3,17,0,2,1,3,5.9,1,6.3,1,3,สารสนเทศ,2,2.81,4,3
44.9,79.5,50.1,52.6,92.8,9.7,4.7,3.4,7.9,6.8,1.4,16,1,5,4,1,5.1,0,2.5,0,4,สารสนเทศ,3,2.72,4,1
39.5,33.5,91.6,42.9,75.9,3.6,7.7,6.3,7.7,2.1,5.9,18,0,2,3,3,7.1,2,1.8,0,3,อาหาร,2,3.39,5,1
31.0,35.1,33.4,70.4,91.7,4.6,9.3,8.8,5.6,4.4,8.1,17,0,2,1,3,9.5,5,3.8,1,3,อาหาร,1,3.78,5,2
54.5,58.2,46.2,40.8,64.0,3.3,5.7,6.2,9.1,2.2,6.5,18,1,1,1,0,9.5,0,7.4,0,3,อาหาร,2,3.0,3,1
71.3,50.7,92.8,54.9,67.9,7.9,8.5,4.0,9.2,8.9,6.2,16,1,2,2,0,5.6,3,2.4,0,1,บัญชี,1,2.35,3,2
57.5,46.3,47.9,78.8,94.3,9.0,8.1,9.9,5.7,7.7,7.1,17,0,3,2,2,6.0,5,7.2,0,2,อาหาร,2,3.67,5,1
60.6,49.7,45.4,69.2,93.0,6.0,3.4,9.2,6.5,7.8,4.1,17,1,2,2,2,7.0,4,0.4,0,3,อาหาร,2,3.13,4,1
93.3,86.2,39.7,57.1,61.4,9.5,7.1,8.4,10.0,6.9,4.3,19,0,2,1,1,8.9,6,0.7,0,2,สารสนเทศ,1,2.84,3,3
54.4,95.0,90.1,59.4,49.2,7.1,3.9,5.9,3.7,5.6,3.8,16,0,4,3,3,8.1,1,5.6,0,1,สารสนเทศ,2,3.53,4,1
66.0,58.4,65.0,69.3,57.5,7.4,9.8,4.3,3.9,2.3,7.4,18,1,4,4,3,7.6,0,1.5,0,2,อาหาร,1,2.98,3,5
84.9,93.4,77.2,30.4,57.1,8.9,8.7,9.6,2.6,4.0,2.5,17,0,1,3,1,8.0,1,2.5,1,1,สารสนเทศ,1,2.33,3,4
57.8,52.5,46.7,35.5,50.1,5.1,3.8,6.7,9.1,2.2,1.1,17,1,1,1,0,5.5,4,1.1,0,2,บัญชี,3,2.44,3,1
73.5,63.4,83.1,91.7,48.8,5.5,3.9,9.0,7.7,7.5,6.4,19,1,3,4,2,7.4,2,2.7,1,1,อาหาร,2,2.86,3,4
90.4,45.8,83.2,35.5,90.3,9.3,7.2,5.4,2.0,2.4,9.5,17,1,4,3,1,10.0,6,2.2,0,4,บัญชี,1,2.81,3,2
96.5,74.8,51.9,79.5,34.9,9.3,5.4,5.3,9.8,7.3,6.5,19,1,5,1,3,5.4,4,5.9,0,1,บัญชี,2,3.11,4,1
40.3,98.5,58.7,94.4,77.4,9.8,3.2,9.9,7.6,7.2,8.0,17,0,1,3,1,7.6,2,5.6,0,2,สารสนเทศ,3,3.22,4,1
94.9,72.2,44.7,48.9,42.1,9.3,6.8,6.7,8.7,5.1,7.1,17,0,1,1,1,6.5,1,7.6,1,3,บัญชี,1,3.22,5,1
64.4,55.0,98.4,55.9,54.1,3.9,5.7,4.0,1.4,2.2,5.5,16,0,4,2,3,7.7,2,5.8,1,4,อาหาร,2,2.94,3,1
48.1,75.3,75.2,69.8,34.3,8.8,3.7,4.5,5.5,3.8,7.5,17,1,4,3,3,7.9,5,5.6,0,3,สารสนเทศ,2,2.91,3,1
62.1,38.6,95.4,91.7,48.9,5.9,8.6,6.4,7.3,3.9,8.4,19,0,3,2,2,7.9,2,5.6,1,2,อาหาร,3,3.24,4,2
98.6,92.2,51.2,95.9,83.8,9.9,9.4,3.3,5.9,7.3,3.0,19,1,4,2,2,9.3,2,7.1,1,3,สารสนเทศ,2,2.8,3,1
64.5,65.2,84.7,81.8,92.0,6.3,8.3,6.2,7.0,2.0,4.0,19,0,2,4,3,6.9,5,2.4,0,3,อาหาร,1,4.0,5,1
53.0,61.5,83.6,36.1,45.5,6.9,8.8,5.9,8.4,8.5,3.0,18,1,5,4,2,7.6,2,2.4,1,1,บัญชี,1,2.51,3,1
74.3,71.0,78.4,76.8,62.4,6.7,4.5,8.5,4.4,7.8,5.1,17,0,2,3,2,5.1,5,5.9,0,2,สารสนเทศ,2,2.66,3,1
46.8,73.7,97.6,58.7,62.9,5.3,4.8,5.5,8.6,2.7,9.0,16,0,2,1,2,8.9,5,1.8,0,3,อาหาร,1,2.95,4,3
35.3,35.0,57.5,62.9,91.2,3.5,4.5,9.9,2.5,7.5,4.1,16,1,2,4,3,6.3,6,7.3,0,3,อาหาร,3,3.34,5,1
39.0,77.8,39.2,33.4,83.4,9.3,8.4,4.3,3.4,7.0,4.4,18,0,1,4,0,9.1,2,4.3,1,3,สารสนเทศ,1,3.24,4,5
39.0,46.9,77.0,43.4,65.9,8.6,9.6,7.1,1.4,7.7,8.7,17,1,2,2,0,6.3,5,2.4,0,2,อาหาร,1,3.35,4,4
40.6,80.0,81.1,85.3,77.0,4.0,8.0,3.6,4.3,2.7,5.6,19,1,1,2,2,5.1,0,6.2,1,4,อาหาร,1,2.43,3,3
39.7,87.6,70.3,61.8,89.3,8.4,9.2,8.1,4.4,2.4,5.8,18,0,4,1,0,5.8,2,2.5,1,3,อาหาร,2,2.95,4,1
74.9,86.3,44.5,51.1,30.7,7.4,7.5,10.0,8.2,3.1,8.7,18,0,5,4,2,9.9,2,7.7,0,3,สารสนเทศ,2,2.9,4,2
42.7,68.7,65.3,56.9,58.2,5.9,5.7,8.7,6.9,4.3,5.4,19,0,5,4,0,6.6,4,7.9,0,4,สารสนเทศ,1,2.79,4,2
54.2,66.4,51.9,89.8,93.5,4.8,6.0,6.9,4.9,8.1,7.1,18,1,2,1,0,5.5,4,5.3,1,4,อาหาร,3,3.34,4,1
92.8,40.0,59.9,82.4,81.8,9.0,3.5,6.4,6.9,7.6,1.8,18,1,5,4,1,5.6,6,0.9,0,4,บัญชี,1,2.86,4,1
63.2,84.3,75.2,49.1,68.0,7.9,3.2,8.8,1.5,9.3,2.6,19,1,1,3,2,6.6,6,2.1,0,3,สารสนเทศ,1,3.25,4,1
76.7,49.0,82.2,38.2,67.1,6.8,7.9,9.6,2.6,1.5,4.6,17,1,4,3,0,5.2,6,4.1,1,1,บัญชี,1,3.81,4,1
42.1,64.8,46.3,47.6,54.3,7.3,6.1,9.9,6.6,1.1,5.5,16,1,2,1,0,7.6,4,6.8,1,2,สารสนเทศ,3,2.14,3,1
43.5,49.9,58.4,94.5,66.4,3.6,6.9,5.8,6.8,7.3,9.7,16,1,3,2,1,6.1,2,1.5,1,3,อาหาร,3,2.93,4,2
32.9,39.4,48.8,70.7,75.9,6.3,6.9,9.9,8.0,3.5,9.7,19,1,5,1,0,7.6,4,0.8,0,4,อาหาร,2,3.3,5,1
41.8,74.1,43.9,67.3,59.3,4.4,4.9,4.1,4.6,4.0,8.7,19,1,5,3,1,5.7,0,0.6,0,4,สารสนเทศ,1,3.45,4,1
49.5,33.8,84.8,71.7,80.0,4.5,6.3,4.8,7.5,5.9,3.8,17,1,2,4,0,7.1,1,4.1,1,4,อาหาร,2,3.33,5,2
42.4,82.4,93.6,55.6,90.3,7.6,6.3,3.6,7.2,1.9,9.7,18,0,5,4,1,8.0,4,7.1,1,4,อาหาร,2,3.26,4,1
36.2,52.2,55.9,86.5,40.8,9.4,5.7,4.9,9.7,6.8,7.2,17,1,5,2,1,5.3,5,0.3,0,1,อาหาร,1,2.76,3,1
38.4,30.0,82.6,66.6,61.6,5.8,8.7,8.4,2.9,3.9,4.5,18,1,3,2,3,7.0,4,1.7,1,2,อาหาร,1,3.9,5,2
62.3,65.8,92.8,38.2,58.6,4.5,6.2,9.0,6.0,6.7,7.3,18,0,1,3,2,6.5,0,5.5,0,1,อาหาร,3,2.68,3,1
44.4,33.3,89.2,39.0,78.1,7.5,7.2,8.5,6.4,8.5,1.1,17,0,2,2,3,6.2,5,6.6,0,1,อาหาร,1,3.4,4,2
55.5,49.3,42.8,67.6,47.5,9.1,9.3,7.4,10.0,2.5,2.3,19,1,2,1,2,8.0,5,6.5,0,2,อาหาร,2,3.18,4,5
65.2,79.5,96.9,95.6,74.8,8.2,9.1,6.6,2.8,9.4,8.5,19,0,3,3,0,7.9,5,6.3,0,3,อาหาร,1,3.24,3,4
78.3,34.4,56.4,51.6,91.4,9.1,9.2,8.0,5.7,5.8,6.8,17,0,3,4,2,8.2,5,1.0,1,3,อาหาร,2,2.78,4,4
32.8,88.8,53.7,90.9,59.3,6.8,4.9,5.7,4.1,9.3,4.3,18,1,1,4,3,5.8,3,3.2,0,1,สารสนเทศ,1,3.67,5,3
86.0,30.3,34.4,83.5,93.8,8.3,3.2,8.9,5.7,2.9,5.5,18,1,4,4,2,6.4,3,7.9,0,2,อาหาร,1,3.77,4,2
74.0,47.3,64.0,47.3,99.5,4.0,4.8,7.7,3.1,6.4,9.1,18,0,2,2,3,6.0,5,7.9,1,4,อาหาร,2,3.48,4,1
35.7,81.9,37.6,32.5,37.4,5.4,5.0,7.9,1.4,4.6,6.7,18,1,5,3,2,7.7,5,4.8,1,2,สารสนเทศ,3,3.62,5,1
